scenario	expected_exit	observed_exit	verdict	stdout	stderr
continuous_pass	0	0	pass	/recon-local/java-evidence/scenarios/continuous_pass/stdout.log	/recon-local/java-evidence/scenarios/continuous_pass/stderr.log
cross_root_split_offsets	0	0	pass	/recon-local/java-evidence/scenarios/cross_root_split_offsets/stdout.log	/recon-local/java-evidence/scenarios/cross_root_split_offsets/stderr.log
missing_offsets	1	1	pass	/recon-local/java-evidence/scenarios/missing_offsets/stdout.log	/recon-local/java-evidence/scenarios/missing_offsets/stderr.log
fail_on_gaps_false_allows_gap	0	0	pass	/recon-local/java-evidence/scenarios/fail_on_gaps_false_allows_gap/stdout.log	/recon-local/java-evidence/scenarios/fail_on_gaps_false_allows_gap/stderr.log
missing_offsets_over_limit	1	1	pass	/recon-local/java-evidence/scenarios/missing_offsets_over_limit/stdout.log	/recon-local/java-evidence/scenarios/missing_offsets_over_limit/stderr.log
missing_offsets_zero_limit	1	1	pass	/recon-local/java-evidence/scenarios/missing_offsets_zero_limit/stdout.log	/recon-local/java-evidence/scenarios/missing_offsets_zero_limit/stderr.log
duplicate_offsets	0	0	pass	/recon-local/java-evidence/scenarios/duplicate_offsets/stdout.log	/recon-local/java-evidence/scenarios/duplicate_offsets/stderr.log
today_run_date_partition_skipped	0	0	pass	/recon-local/java-evidence/scenarios/today_run_date_partition_skipped/stdout.log	/recon-local/java-evidence/scenarios/today_run_date_partition_skipped/stderr.log
scan_ignores_invalid_date_and_nonmatching_children	0	0	pass	/recon-local/java-evidence/scenarios/scan_ignores_invalid_date_and_nonmatching_children/stdout.log	/recon-local/java-evidence/scenarios/scan_ignores_invalid_date_and_nonmatching_children/stderr.log
persisted_normalized_offsets	0	0	pass	/recon-local/java-evidence/scenarios/persisted_normalized_offsets/stdout.log	/recon-local/java-evidence/scenarios/persisted_normalized_offsets/stderr.log
normalized_offsets_overwrite_false_existing_path	2	2	pass	/recon-local/java-evidence/scenarios/normalized_offsets_overwrite_false_existing_path/stdout.log	/recon-local/java-evidence/scenarios/normalized_offsets_overwrite_false_existing_path/stderr.log
malformed_json	1	1	pass	/recon-local/java-evidence/scenarios/malformed_json/stdout.log	/recon-local/java-evidence/scenarios/malformed_json/stderr.log
fail_on_invalid_rows_false_allows_invalid_metadata	0	0	pass	/recon-local/java-evidence/scenarios/fail_on_invalid_rows_false_allows_invalid_metadata/stdout.log	/recon-local/java-evidence/scenarios/fail_on_invalid_rows_false_allows_invalid_metadata/stderr.log
missing_metadata_value	1	1	pass	/recon-local/java-evidence/scenarios/missing_metadata_value/stdout.log	/recon-local/java-evidence/scenarios/missing_metadata_value/stderr.log
missing_partition	1	1	pass	/recon-local/java-evidence/scenarios/missing_partition/stdout.log	/recon-local/java-evidence/scenarios/missing_partition/stderr.log
missing_offset	1	1	pass	/recon-local/java-evidence/scenarios/missing_offset/stdout.log	/recon-local/java-evidence/scenarios/missing_offset/stderr.log
non_numeric_partition	1	1	pass	/recon-local/java-evidence/scenarios/non_numeric_partition/stdout.log	/recon-local/java-evidence/scenarios/non_numeric_partition/stderr.log
non_numeric_offset	1	1	pass	/recon-local/java-evidence/scenarios/non_numeric_offset/stdout.log	/recon-local/java-evidence/scenarios/non_numeric_offset/stderr.log
all_invalid_metadata	2	2	pass	/recon-local/java-evidence/scenarios/all_invalid_metadata/stdout.log	/recon-local/java-evidence/scenarios/all_invalid_metadata/stderr.log
empty_readable_parquet	2	2	pass	/recon-local/java-evidence/scenarios/empty_readable_parquet/stdout.log	/recon-local/java-evidence/scenarios/empty_readable_parquet/stderr.log
only_run_date_partitions	2	2	pass	/recon-local/java-evidence/scenarios/only_run_date_partitions/stdout.log	/recon-local/java-evidence/scenarios/only_run_date_partitions/stderr.log
no_eligible_old_partitions	2	2	pass	/recon-local/java-evidence/scenarios/no_eligible_old_partitions/stdout.log	/recon-local/java-evidence/scenarios/no_eligible_old_partitions/stderr.log
missing_input_roots	2	2	pass	/recon-local/java-evidence/scenarios/missing_input_roots/stdout.log	/recon-local/java-evidence/scenarios/missing_input_roots/stderr.log
invalid_run_date	2	2	pass	/recon-local/java-evidence/scenarios/invalid_run_date/stdout.log	/recon-local/java-evidence/scenarios/invalid_run_date/stderr.log
invalid_fail_flag	2	2	pass	/recon-local/java-evidence/scenarios/invalid_fail_flag/stdout.log	/recon-local/java-evidence/scenarios/invalid_fail_flag/stderr.log
invalid_missing_offsets_limit	2	2	pass	/recon-local/java-evidence/scenarios/invalid_missing_offsets_limit/stdout.log	/recon-local/java-evidence/scenarios/invalid_missing_offsets_limit/stderr.log
nonexistent_root	2	2	pass	/recon-local/java-evidence/scenarios/nonexistent_root/stdout.log	/recon-local/java-evidence/scenarios/nonexistent_root/stderr.log
root_not_directory	2	2	pass	/recon-local/java-evidence/scenarios/root_not_directory/stdout.log	/recon-local/java-evidence/scenarios/root_not_directory/stderr.log
missing_metadata_column	2	2	pass	/recon-local/java-evidence/scenarios/missing_metadata_column/stdout.log	/recon-local/java-evidence/scenarios/missing_metadata_column/stderr.log
